borough,cd,schooldist,zipcode,address,bldgclass,landuse,numfloors,bldgdepth,yearbuilt,landmark,latitude,longitude
MN,112.0,6.0,10034.0,3855 10 AVENUE,C,4.0,5.0,90.0,1915.0,,40.8637956,-73.9190056
MN,112.0,6.0,10034.0,430 WEST 207 STREET,V,11.0,,0.0,0.0,,40.8637127,-73.9182393
MN,112.0,6.0,10034.0,408 WEST 207 STREET,V,11.0,,0.0,0.0,,40.863446,-73.9176033
MN,112.0,6.0,10034.0,401 WEST 207 STREET,G,7.0,1.0,19.75,2004.0,,40.864165,-73.9174108
MN,112.0,6.0,10034.0,375 WEST 207 STREET,V,11.0,,0.0,0.0,,40.8637715,-73.9160773
MN,112.0,6.0,10034.0,350 WEST 206 STREET,Y,7.0,1.0,84.0,1955.0,,40.8623009,-73.9168455
MN,112.0,6.0,10034.0,3859 10 AVENUE,K,5.0,2.0,84.0,1914.0,,40.863919,-73.9189187
MN,112.0,6.0,10034.0,425 WEST 205 STREET,D,3.0,6.0,86.0,1946.0,,40.8630325,-73.9189523
MN,112.0,6.0,10034.0,3843 10 AVENUE,K,5.0,1.0,60.0,1951.0,,40.8634773,-73.9192446
MN,112.0,6.0,10034.0,420 WEST 205 STREET,C,2.0,3.0,86.0,1948.0,,40.8625879,-73.9190686
MN,112.0,6.0,10034.0,3801 10 AVENUE,K,5.0,1.0,59.0,1960.0,,40.8622374,-73.920168
MN,112.0,6.0,10034.0,3815 10 AVENUE,M,8.0,1.0,51.0,1976.0,,40.8627504,-73.9197951
MN,112.0,6.0,10034.0,436 WEST 204 STREET,C,2.0,5.0,86.0,1915.0,,40.8620669,-73.919767
MN,112.0,6.0,10034.0,3795 10 AVENUE,K,4.0,2.0,100.0,1927.0,,40.861996,-73.9203455
MN,112.0,6.0,10034.0,400 WEST 202 STREET,K,4.0,1.0,100.0,1920.0,,40.8604503,-73.9198014
MN,112.0,6.0,10034.0,425 WEST 203 STREET,E,6.0,1.0,100.0,1987.0,,40.8617925,-73.9198613
MN,112.0,6.0,10034.0,499 WEST 202 STREET,G,7.0,1.0,200.0,1973.0,,40.8613345,-73.9203427
MN,112.0,6.0,10034.0,439 WEST 204 STREET,M,8.0,2.0,76.0,1958.0,,40.8625252,-73.9196796
MN,112.0,6.0,10034.0,3775 10 AVENUE,K,5.0,1.0,100.0,1923.0,,40.8614885,-73.9207004
MN,112.0,6.0,10034.0,175 NAGLE AVENUE,D,4.0,14.0,54.67,1951.0,,40.861144,-73.9226783
MN,112.0,6.0,10034.0,5134 BROADWAY,G,5.0,2.0,50.0,1948.0,,40.8719919,-73.9124547
MN,112.0,6.0,10034.0,WEST 219 STREET,G,10.0,,0.0,0.0,,40.8711027,-73.9124631
MN,112.0,6.0,10034.0,409 WEST 219 STREET,W,8.0,2.0,100.0,2003.0,,40.8715442,-73.912054
MN,112.0,6.0,10034.0,4116 WEST 220 STREET,G,10.0,,0.0,0.0,,40.8718978,-73.9114135
MN,112.0,6.0,10034.0,3703 HARLEM RIVER DRVWY,W,8.0,4.0,75.0,1992.0,,40.8577018,-73.922263
MN,112.0,6.0,10034.0,WEST 216 STREET,V,11.0,,0.0,0.0,,40.8689198,-73.9113668
MN,112.0,6.0,10034.0,3761 10 AVENUE,G,7.0,2.0,28.0,2016.0,,40.8608409,-73.9210301
MN,112.0,6.0,10034.0,9 AVENUE,G,10.0,,0.0,0.0,,40.8717683,-73.9106905
MN,112.0,6.0,10034.0,425 WEST 218 STREET,G,5.0,1.0,100.0,1965.0,,40.8710427,-73.9130779
MN,112.0,6.0,10034.0,5124 BROADWAY,G,10.0,,0.0,0.0,,40.8719647,-73.9127151
MN,112.0,6.0,10034.0,5120 BROADWAY,O,5.0,2.0,182.0,1928.0,,40.8713721,-73.9130666
MN,112.0,6.0,10034.0,407 WEST 205 STREET,C,2.0,5.0,88.0,1911.0,,40.8628648,-73.9185513
MN,112.0,6.0,10034.0,3835 9 AVENUE,E,6.0,2.0,98.0,1927.0,,40.8625923,-73.9175104
MN,112.0,6.0,10034.0,3849 9 AVENUE,K,5.0,1.0,94.0,1970.0,,40.8629901,-73.917199
MN,112.0,6.0,10034.0,416 WEST 206 STREET,D,3.0,6.0,86.0,1946.0,,40.8632794,-73.9187713
MN,112.0,6.0,10034.0,3842 9 AVENUE,K,5.0,2.0,100.0,1951.0,,40.8629412,-73.9179727
