zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10034.0,WEST 219 STREET,Commercial,,0.0,0.0,40.8711027,-73.9124631
10034.0,409 WEST 219 STREET,Education,2.0,100.0,2003.0,40.8715442,-73.912054
10034.0,4116 WEST 220 STREET,Commercial,,0.0,0.0,40.8718978,-73.9114135
10034.0,3703 HARLEM RIVER DRVWY,Education,4.0,75.0,1992.0,40.8577018,-73.922263
10034.0,WEST 216 STREET,Commercial,,0.0,0.0,40.8689198,-73.9113668
10034.0,3761 10 AVENUE,Commercial,2.0,28.0,2016.0,40.8608409,-73.9210301
10034.0,9 AVENUE,Commercial,,0.0,0.0,40.8717683,-73.9106905
10034.0,425 WEST 218 STREET,Commercial,1.0,100.0,1965.0,40.8710427,-73.9130779
10034.0,5124 BROADWAY,Commercial,,0.0,0.0,40.8719647,-73.9127151
10034.0,5120 BROADWAY,High Rise,2.0,182.0,1928.0,40.8713721,-73.9130666
10034.0,407 WEST 205 STREET,Residential,5.0,88.0,1911.0,40.8628648,-73.9185513
10034.0,3835 9 AVENUE,Commercial,2.0,98.0,1927.0,40.8625923,-73.9175104
10034.0,3849 9 AVENUE,Commercial,1.0,94.0,1970.0,40.8629901,-73.917199
10034.0,416 WEST 206 STREET,High Rise,6.0,86.0,1946.0,40.8632794,-73.9187713
10034.0,3842 9 AVENUE,Commercial,2.0,100.0,1951.0,40.8629412,-73.9179727
10034.0,403 WEST 205 STREET,Residential,5.0,88.0,1940.0,40.8627988,-73.9183923
10034.0,414 WEST 206 STREET,Commercial,,0.0,0.0,40.8630787,-73.9182943
10034.0,3859 9 AVENUE,Commercial,1.0,100.0,1964.0,40.8629703,-73.9164506
10034.0,5140 BROADWAY,Commercial,,0.0,0.0,40.8723978,-73.9120384
10034.0,4168 9 AVENUE,Commercial,1.0,70.0,1957.0,40.8724168,-73.9116804
10034.0,5122 BROADWAY,Commercial,,0.0,0.0,40.8717891,-73.9128021
10034.0,401 WEST 205 STREET,Commercial,2.0,100.0,1960.0,40.8626971,-73.9181538
10034.0,411 WEST 204 STREET,Education,3.0,80.0,1955.0,40.8623108,-73.9191701
10034.0,3814 9 AVENUE,Commercial,,0.0,0.0,40.8615723,-73.9189758
10034.0,416 WEST 204 STREET,Commercial,,0.0,0.0,40.8618607,-73.9192791
10034.0,9 AVENUE,Commercial,,0.0,0.0,40.8612754,-73.918264
10034.0,5094 BROADWAY,Commercial,1.0,141.08,1926.0,40.8712159,-73.9134284
10030.0,123 EDGECOMBE AVENUE,Residential,5.0,73.0,1910.0,40.8207028,-73.9456244
10029.0,5 AVENUE,Commercial,,0.0,0.0,40.7942403,-73.9503122
10002.0,60 NORFOLK STREET,Residential,16.0,0.0,2021.0,40.7170667,-73.9878109
10009.0,650 EAST 6TH STREET,Residential,6.0,72.0,2021.0,40.7234995,-73.9798571
10038.0,75 NASSAU STREET,Commercial,,0.0,0.0,40.7098717,-74.0083935
10022.0,EAST 57 STREET,Commercial,,0.0,0.0,40.7576548,-73.9624929
10027.0, ST NICHOLAS AVENUE,Commercial,,0.0,0.0,40.8156609,-73.9522615
10012.0,251 MERCER STREET,Commercial,,0.0,0.0,40.7285665,-73.9954467
10022.0, RIVERVIEW TERRACE,Commercial,,0.0,0.0,40.7578047,-73.9593633
10027.0, ST NICHOLAS AVENUE,Commercial,,0.0,0.0,40.815062,-73.9509469
10022.0, SUTTON SQUARE,Commercial,,0.0,0.0,40.7576729,-73.9593309
10027.0,375 WEST 125 STREET,Residential,4.0,58.0,1901.0,40.8113824,-73.9534278
10002.0,14 CLINTON STREET,Residential,6.0,0.0,2021.0,40.7208225,-73.9838958
10009.0,619 EAST 6TH STREET,Residential,6.0,91.0,1900.0,40.7242227,-73.9804495
10003.0,41 2 AVENUE,Commercial,,0.0,0.0,40.7256101,-73.9909479
10002.0, DELANCEY STREET,Commercial,,0.0,0.0,40.7174575,-73.9849535
10029.0, MADISON AVENUE,Commercial,,0.0,0.0,40.7967418,-73.9466625
10029.0,EAST 111 STREET,Commercial,,0.0,0.0,40.7964532,-73.9456876
10027.0, ST NICHOLAS AVENUE,Commercial,,0.0,0.0,40.8170715,-73.9516933
10030.0,127 EDGECOMBE AVENUE,Residential,5.0,73.0,1910.0,40.8208263,-73.945534
10038.0,79 NASSAU STREET,Commercial,,0.0,0.0,40.7099842,-74.0082925
10038.0,167 FRONT STREET,Commercial,,0.0,0.0,40.7060539,-74.0047718
10031.0,473 WEST 152 STREET,Commercial,,0.0,0.0,40.8295809,-73.9433841
10031.0,459 WEST 152 STREET,Commercial,,0.0,0.0,40.8295011,-73.9430842
10128.0,3 AVENUE,Commercial,,0.0,0.0,40.7802352,-73.9535254
10022.0,EAST 56 STREET,Commercial,,0.0,0.0,40.756364,-73.9603027
10027.0,350 WEST 125 STREET,Commercial,2.0,98.0,1955.0,40.8106741,-73.9531032
